user.id,start_time,end_time,country,os,time,canceled,AddBirthday,StartChat,ReceiveFriendRequest,TimeLinePostLiked,LimitAudience,ClearActivityLog
0000103477,2016-09-16T13:54:17-0700,2016-09-16T13:54:17-0700,Mexico,Windows,0,FALSE,0,0,0,0,0,0
0008767738,2016-06-06T03:56:31-0700,2016-06-12T10:08:07-0700,Republic of Korea,Windows,6.258065450001756,TRUE,0,0,1,0,0,1
0014957809,2016-01-14T18:44:18-0800,2016-02-22T09:56:59-0800,Brazil,Windows,38.633810000000175,TRUE,0,0,0,0,0,0
0022935740,2016-02-04T12:05:18-0800,2016-02-06T17:20:42-0800,Ireland,Windows,2.219029465278652,TRUE,0,1,0,1,0,1
0023454291,2015-10-17T23:26:37-0700,2016-07-12T00:47:23-0700,United Kingdom,Windows,268.0560975810195,TRUE,0,0,0,0,0,0
0024534848,2016-08-29T12:45:21-0700,2016-08-29T17:22:42-0700,United Kingdom,Mac,0.1926148726846333,TRUE,0,0,0,0,0,1
0038872769,2015-12-25T09:16:49-0800,2016-01-25T07:33:03-0800,Germany,Windows,30.927944606481876,TRUE,0,0,0,0,0,1
0043879869,2016-09-05T07:55:59-0700,2016-10-01T20:06:21-0700,Denmark,Windows,26.507207527778217,FALSE,0,1,0,1,0,1
0045040351,2016-07-03T18:43:01-0700,2016-09-22T05:19:29-0700,United States,Mac,80.4419929041644,FALSE,0,0,0,1,0,1
0047178339,2016-08-01T10:49:22-0700,2016-08-13T13:16:32-0700,United States,Windows,12.102207951388424,TRUE,0,0,0,0,0,1
0066574867,2016-04-10T08:49:52-0700,2016-09-25T12:18:38-0700,Belgium,Windows,168.14497776620365,FALSE,0,0,0,0,0,0
0067249730,2015-12-15T05:02:14-0800,2017-02-11T15:48:42-0800,Brazil,Linux,424.4489380559999,TRUE,0,0,1,1,0,0
0067871423,2016-07-30T15:33:37-0700,2016-11-12T05:13:19-0800,United States,Windows,104.61090852116521,FALSE,0,0,1,1,0,1
0071064307,2016-02-18T14:52:15-0800,2016-02-18T17:20:31-0800,Brazil,Windows,0.10296554583277967,TRUE,0,0,0,1,0,1
0076642421,2016-07-17T12:33:36-0700,2016-07-18T08:17:44-0700,Ukraine,Windows,0.8223221722255151,TRUE,0,0,0,1,0,1
0107288741,2016-09-02T08:45:17-0700,2016-09-05T01:14:56-0700,France,Windows,2.687262004166841,FALSE,0,0,0,1,0,1
0117404509,2016-09-03T00:05:29-0700,2016-09-09T07:56:03-0700,India,Windows,6.326789814816029,FALSE,0,0,0,0,0,1
0118320371,2016-05-27T02:45:11-0700,2016-06-12T02:41:47-0700,Singapore,Mac,15.997641817127112,TRUE,0,0,0,0,0,1
0148337169,2016-09-05T10:06:04-0700,2016-09-05T10:06:04-0700,Germany,Mac,0,FALSE,0,0,1,0,0,0
0158153228,2016-05-11T22:54:57-0700,2016-08-17T18:29:08-0700,India,Mac,97.81541157361433,TRUE,0,0,0,1,0,1
0159851989,2015-10-17T22:02:27-0700,2016-03-20T01:50:07-0700,Japan,Windows,154.15811256944582,TRUE,0,0,0,0,0,0
0164577636,2016-06-06T08:30:38-0700,2016-06-23T13:07:21-0700,United States,Windows,17.19216656299782,TRUE,0,0,1,1,1,1
0183270459,2015-10-15T06:59:37-0700,2017-01-17T13:30:41-0800,Belgium,Mac,460.31324149861234,FALSE,0,0,0,1,0,0
0205851697,2015-11-15T05:38:34-0800,2015-12-05T04:51:29-0800,United Kingdom,Mac,19.967311802778973,TRUE,0,0,0,1,0,0
0223189828,2016-01-22T19:28:52-0800,2016-02-16T13:32:12-0800,Brazil,Windows,24.75231994444496,TRUE,0,0,1,0,0,0
0257450429,2016-05-03T02:08:53-0700,2016-08-23T07:20:24-0700,United Kingdom,Mac,112.21633355324191,TRUE,0,0,0,0,0,1
0284350022,2016-06-24T08:41:33-0700,2016-07-03T16:58:12-0700,United Kingdom,Windows,9.34490070555806,TRUE,0,0,0,1,0,0
0323681374,2016-05-28T15:20:51-0700,2016-06-11T01:46:32-0700,United States,Windows,13.43451387361222,TRUE,0,0,0,1,0,1
0340159747,2016-07-01T17:22:54-0700,2016-07-19T21:48:14-0700,United Kingdom,Mac,18.18426936944392,TRUE,0,0,0,1,0,1
0353811899,2016-03-22T15:47:18-0700,2016-11-15T03:12:52-0800,Germany,Linux,237.51776461111007,FALSE,0,0,0,1,0,1
0369219778,2015-12-20T07:58:20-0800,2015-12-27T11:59:42-0800,Japan,Windows,7.167624368665894,TRUE,0,0,1,1,0,1
0399318326,2016-08-30T17:30:13-0700,2016-08-30T17:30:13-0700,United States,Mac,0,FALSE,0,0,0,1,0,1
0403561888,2016-08-30T07:53:15-0700,2016-10-12T19:11:53-0700,Indonesia,Mac,43.47127425694564,FALSE,0,0,1,0,0,1
0417252097,2016-02-27T12:54:42-0800,2016-06-12T14:18:14-0700,United States,Mac,106.01634638888967,TRUE,0,0,0,0,0,1
0455907750,2015-10-27T03:44:36-0700,2016-01-16T07:21:35-0800,Japan,Mac,81.19236059027689,TRUE,0,0,0,0,0,0
0469929262,2015-12-20T19:43:48-0800,2016-09-28T20:35:23-0700,United States,Mac,282.994166562502,FALSE,0,0,0,0,0,0
0491973771,2015-10-28T02:05:01-0700,2016-05-04T12:54:17-0700,Spain,Mac,189.45088347222242,TRUE,0,0,0,0,0,0
0495545503,2016-07-07T10:10:20-0700,2016-07-12T15:00:01-0700,United Kingdom,Mac,5.201179461108976,TRUE,1,0,1,0,0,1
0506855128,2016-05-31T12:25:45-0700,2016-06-03T01:21:59-0700,United States,Mac,2.5390609902769326,TRUE,0,0,0,1,0,1
0507056128,2016-03-20T19:12:02-0700,2016-07-22T17:46:41-0700,Japan,Windows,123.94073285000026,TRUE,0,0,0,1,0,1
0516003794,2016-09-05T13:08:25-0700,2016-09-05T13:08:25-0700,Canada,Windows,0,FALSE,0,0,0,0,0,0
0522106421,2016-02-06T22:55:14-0800,2016-03-12T02:27:49-0800,Mexico,Windows,34.14763023749756,TRUE,0,0,1,0,0,1
0557308200,2015-11-19T05:47:54-0800,2017-03-19T21:39:51-0700,United Kingdom,Mac,486.6194176458349,FALSE,0,0,1,0,0,0
0565797448,2016-04-18T03:21:50-0700,2016-04-29T04:03:32-0700,India,Windows,11.02896950231382,TRUE,0,0,0,0,0,1
